,id,popularity,artist_ids
40929,https://open.spotify.com/track/05CgKydlFJALNy4JTHeMgs  ,0,['7dGJo4pcD2V6oG8kP0tJRR']
40938,https://open.spotify.com/track/6P2ffRHZZ8CdH3GfWq71Ci  ,0,['7dGJo4pcD2V6oG8kP0tJRR']
40951,https://open.spotify.com/track/72i5s3SBDEkaRUOgUTlkfO  ,0,['7dGJo4pcD2V6oG8kP0tJRR']
40954,https://open.spotify.com/track/0chdEzeIcgfNYbWJBpgvzR  ,0,['7dGJo4pcD2V6oG8kP0tJRR']
40955,https://open.spotify.com/track/3PAwprj5tcrX8vV9BbBL9X  ,26,['7dGJo4pcD2V6oG8kP0tJRR']
40957,https://open.spotify.com/track/7oDTApxHeWzTQOR7GPPxw4  ,0,['7dGJo4pcD2V6oG8kP0tJRR']
40962,https://open.spotify.com/track/4hGZxsGcFnuCJXn25EWj5j  ,0,"['7dGJo4pcD2V6oG8kP0tJRR', '5psTfOBPmc8UquYcnS22KE']"
41138,https://open.spotify.com/track/0B48113ZG9UfkWWt7qD9xX  ,0,['5YGY8feqx7naU7z4HrwZM6']
41177,https://open.spotify.com/track/4GFYhFM3OfFjyt1U0DaCVT  ,0,['0c2FPgHaY20scmp44dhPXg']
41498,https://open.spotify.com/track/353IDEfNzPJmGNRnOi5kJ1  ,9,['5Rl15oVamLq7FbSb0NNBNy']
41523,https://open.spotify.com/track/4POHzEwNTCYaIvqCUp3NnO  ,12,['5Rl15oVamLq7FbSb0NNBNy']
41583,https://open.spotify.com/track/2txofPPP3lkiNLTUUHeJHS  ,14,['5Rl15oVamLq7FbSb0NNBNy']
41788,https://open.spotify.com/track/5T9S5x5hEOvgGKWysm683a  ,1,['3gIRvgZssIb9aiirIg0nI3']
42370,https://open.spotify.com/track/5Db9VIdDsN5yu3Eu7CT0i4  ,0,['2wY79sveU1sp5g7SokKOiI']
43393,https://open.spotify.com/track/39Bq9cOTO0H8M6P9iKLVdq  ,0,"['2jku7tDXc6XoB6MO2hFuqg', '20sxb77xiYeusSH8cVdatc']"
